strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
5910.0,0.0,0.0,0.0,0.0,0.0,448.0,-113374060.67739248,-1918172.4407781877,29394747.588618696,1428903.0140115821,-113374060.67739248,-1918172.4407781877,29394747.588618696,1428903.0140115821,
5915.0,0.0,0.0,0.0,0.0,0.0,12.0,-7337801.099592379,-156575.33919804802,2036932.5119197527,53256.34643207097,-7337801.099592379,-156575.33919804802,2036932.5119197527,53256.34643207097,
5920.0,1.0,0.0,656304.00390625,0.0,0.0,374.0,-199095544.22723356,-4138779.8877491443,54512006.71985005,1564622.6595061328,-199095544.22723356,-3482475.8838428943,54512006.71985005,1564622.6595061328,
5925.0,130.0,112257364.52875106,60713721.69878442,-4572119.7259353055,-574681.920541298,8138.0,-2351529348.1449122,-47341628.21537255,627867439.7158086,22661996.893307347,-2239271983.6161613,13372093.48341187,623295319.9898733,22087314.97276605,62.6
5930.0,2.0,2761799.987512525,1045506.3201932249,-265730.43138526677,-18025.817803975733,427.0,-198956361.62598652,-3974981.7017222843,53604161.18458914,1693777.016020874,-196194561.638474,-2929475.3815290593,53338430.75320388,1675751.1982168984,
5935.0,30.0,17937876.346737023,19329829.834106535,-5073066.702019228,-126029.05907571054,3.0,-2002917.1955197696,-42653.364329089636,546320.7799852329,14059.573916429288,15934959.151217254,19287176.469777446,-4526745.922033994,-111969.48515928125,0.1
5940.0,0.0,0.0,0.0,0.0,0.0,311.0,-130611161.08117771,-2496658.4204236623,34564371.31650517,1204834.9617142668,-130611161.08117771,-2496658.4204236623,34564371.31650517,1204834.9617142668,
5945.0,0.0,0.0,0.0,0.0,0.0,13.0,-9009581.794527983,-190914.83615481318,2441170.535917209,62176.32876288161,-9009581.794527983,-190914.83615481318,2441170.535917209,62176.32876288161,
5950.0,164.0,96982262.33324327,105747059.65738304,-27637069.910206046,-667393.702769407,8945.0,-4959512622.437794,-118425280.77367426,1310944633.2525458,34921423.54609352,-4862530360.10455,-12678221.116291225,1283307563.3423398,34254029.84332412,54.542682926829265
5955.0,0.0,0.0,0.0,0.0,0.0,21.0,-15276310.696338939,-324203.4222492072,4095228.258752626,103607.4705262475,-15276310.696338939,-324203.4222492072,4095228.258752626,103607.4705262475,
5960.0,4.0,5442920.157342471,2020611.1144149275,-445679.48468097445,-32901.08719712107,612.0,-237242146.54466033,-4344017.082906011,60652436.94465678,2373329.044963912,-231799226.38731787,-2323405.968491083,60206757.45997581,2340427.957766791,
5965.0,250.0,192587649.51853317,159959393.00591943,-50900375.2281182,-1283202.031910831,290.0,-221224195.78819266,-4699817.6639795685,58682927.45860642,1474145.7595860376,-28636546.26965949,155259575.34193987,7782552.230488218,190943.7276752065,1.16
5970.0,250.0,193152693.77065828,159998711.38807017,-51174084.03609862,-1275780.6888713383,938.0,-715978589.7816842,-16820183.644671947,186337568.62233102,4578824.141641492,-522825896.0110259,143178527.74339822,135163484.5862324,3303043.452770154,3.752
5975.0,173.0,116400738.81705806,111285805.67832808,-32225669.00349701,-780315.7384087533,12402.0,-9687544239.864195,-246123336.34854218,2501499715.9787126,57271237.08787144,-9571143501.047136,-134837530.67021412,2469274046.9752154,56490921.34946269,71.6878612716763
5980.0,4.0,3435429.4969463334,2209384.8666257784,-341061.62005624967,-31065.81359545438,568.0,-342150345.3470046,-7462024.890507953,87319055.26942882,2564059.0608256557,-338714915.85005826,-5252640.023882175,86977993.64937256,2532993.2472302015,
5985.0,0.0,0.0,0.0,0.0,0.0,162.0,-135523756.24546504,-2880341.217268633,35215189.713789724,871018.7952426409,-135523756.24546504,-2880341.217268633,35215189.713789724,871018.7952426409,
