strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
5950.0,1.0,990070.9042561935,474564.21555458015,-18273.804059429152,-39178.86369559332,0.0,0.0,0.0,0.0,0.0,990070.9042561935,474564.21555458015,-18273.804059429152,-39178.86369559332,
5960.0,4.0,5497161.389538012,2119135.831943,-682018.3089181985,-23096.27812884355,0.0,0.0,0.0,0.0,0.0,5497161.389538012,2119135.831943,-682018.3089181985,-23096.27812884355,
5970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5980.0,2.0,2077447.4016289057,949651.9947558163,-131452.57458506303,-7083.588295368756,0.0,0.0,0.0,0.0,0.0,2077447.4016289057,949651.9947558163,-131452.57458506303,-7083.588295368756,
5990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6020.0,2.0,2110163.8700028383,935331.4957548314,-121679.06651640528,-6545.504763995593,0.0,0.0,0.0,0.0,0.0,2110163.8700028383,935331.4957548314,-121679.06651640528,-6545.504763995593,
6025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6040.0,10.0,10812187.64188945,4636897.668911972,-179934.11100627398,-362554.321437544,0.0,0.0,0.0,0.0,0.0,10812187.64188945,4636897.668911972,-179934.11100627398,-362554.321437544,0.0
6045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6070.0,23.0,36300099.18634747,11730704.69102057,-3900870.8588623493,-123912.41432777888,0.0,0.0,0.0,0.0,0.0,36300099.18634747,11730704.69102057,-3900870.8588623493,-123912.41432777888,0.0
6075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6090.0,23.0,23515273.189488273,10375670.746563664,-1001929.9817593326,-56979.70736954116,0.0,0.0,0.0,0.0,0.0,23515273.189488273,10375670.746563664,-1001929.9817593326,-56979.70736954116,0.0
6095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6125.0,134.0,141570194.1304622,59830451.647595264,-5684249.2542155795,-314054.03512123966,0.0,0.0,0.0,0.0,0.0,141570194.1304622,59830451.647595264,-5684249.2542155795,-314054.03512123966,0.0
6130.0,4.0,4167778.4743269347,1778854.658997995,-159091.40998650636,-8922.94379870693,0.0,0.0,0.0,0.0,0.0,4167778.4743269347,1778854.658997995,-159091.40998650636,-8922.94379870693,
6135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6140.0,4.0,4444889.9889631355,1786864.8973217588,-187798.56914753385,-9860.668806993457,0.0,0.0,0.0,0.0,0.0,4444889.9889631355,1786864.8973217588,-187798.56914753385,-9860.668806993457,
6145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6160.0,3.0,3295239.960203814,1325987.567720823,-125378.0448941549,-6680.462115271603,0.0,0.0,0.0,0.0,0.0,3295239.960203814,1325987.567720823,-125378.0448941549,-6680.462115271603,
6165.0,1.0,1103504.6423856656,441275.8550684337,-41549.22878685055,-2204.327723683118,0.0,0.0,0.0,0.0,0.0,1103504.6423856656,441275.8550684337,-41549.22878685055,-2204.327723683118,
6170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6190.0,1.0,0.0,660649.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660649.0234375,0.0,0.0,
6195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6225.0,149.0,169267345.20852065,64215482.949605234,-5195491.274381344,-267725.31312203116,0.0,0.0,0.0,0.0,0.0,169267345.20852065,64215482.949605234,-5195491.274381344,-267725.31312203116,0.0
6230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6240.0,2.0,2327089.751657224,856426.8457556097,-45715.63587614364,-21643.40643960791,0.0,0.0,0.0,0.0,0.0,2327089.751657224,856426.8457556097,-45715.63587614364,-21643.40643960791,
6245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
